prompt	n_tokens	run_id	total_time	time_per_token	device	model_id	constrained_time	unconstrained_time
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	1	1	0.007	0.007	cpu	openai-community/gpt2	0.04	2.16
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	1	2	0.008	0.008	cpu	openai-community/gpt2	0.04	1.32
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	1	3	0.009	0.009	cpu	openai-community/gpt2	0.05	1.48
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	1	4	0.007	0.007	cpu	openai-community/gpt2	0.04	1.19
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	1	5	0.008	0.008	cpu	openai-community/gpt2	0.05	1.19
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	1	1	0.008	0.008	cpu	openai-community/gpt2	0.04	1.83
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	1	2	0.007	0.007	cpu	openai-community/gpt2	0.04	1.09
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	1	3	0.009	0.009	cpu	openai-community/gpt2	0.05	1.72
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	1	4	0.007	0.007	cpu	openai-community/gpt2	0.04	1.45
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	1	5	0.008	0.008	cpu	openai-community/gpt2	0.04	1.71
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	1	1	0.008	0.008	cpu	openai-community/gpt2	0.05	1.08
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	1	2	0.008	0.008	cpu	openai-community/gpt2	0.05	1.55
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	1	3	0.007	0.007	cpu	openai-community/gpt2	0.04	1.21
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	1	4	0.013	0.013	cpu	openai-community/gpt2	0.06	1.59
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	1	5	0.007	0.007	cpu	openai-community/gpt2	0.05	1.91
This is a valid json string for a detailed http request:	1	1	0.007	0.007	cpu	openai-community/gpt2	0.04	1.34
This is a valid json string for a detailed http request:	1	2	0.009	0.009	cpu	openai-community/gpt2	0.04	1.30
This is a valid json string for a detailed http request:	1	3	0.008	0.008	cpu	openai-community/gpt2	0.04	1.30
This is a valid json string for a detailed http request:	1	4	0.019	0.019	cpu	openai-community/gpt2	0.13	1.24
This is a valid json string for a detailed http request:	1	5	0.008	0.008	cpu	openai-community/gpt2	0.04	1.58
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	2	1	0.021	0.011	cpu	openai-community/gpt2	0.07	1.64
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	2	2	0.027	0.013	cpu	openai-community/gpt2	0.09	1.52
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	2	3	0.026	0.013	cpu	openai-community/gpt2	0.09	1.20
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	2	4	0.021	0.010	cpu	openai-community/gpt2	0.08	1.36
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	2	5	0.026	0.013	cpu	openai-community/gpt2	0.10	1.72
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	2	1	0.026	0.013	cpu	openai-community/gpt2	0.09	1.69
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	2	2	0.028	0.014	cpu	openai-community/gpt2	0.09	1.60
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	2	3	0.025	0.013	cpu	openai-community/gpt2	0.08	1.77
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	2	4	0.026	0.013	cpu	openai-community/gpt2	0.08	2.24
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	2	5	0.021	0.011	cpu	openai-community/gpt2	0.08	1.84
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	2	1	0.023	0.012	cpu	openai-community/gpt2	0.09	1.21
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	2	2	0.026	0.013	cpu	openai-community/gpt2	0.09	1.31
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	2	3	0.026	0.013	cpu	openai-community/gpt2	0.09	1.90
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	2	4	0.025	0.012	cpu	openai-community/gpt2	0.09	1.39
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	2	5	0.025	0.013	cpu	openai-community/gpt2	0.10	1.18
This is a valid json string for a detailed http request:	2	1	0.028	0.014	cpu	openai-community/gpt2	0.09	1.46
This is a valid json string for a detailed http request:	2	2	0.025	0.012	cpu	openai-community/gpt2	0.08	1.40
This is a valid json string for a detailed http request:	2	3	0.025	0.013	cpu	openai-community/gpt2	0.09	1.15
This is a valid json string for a detailed http request:	2	4	0.024	0.012	cpu	openai-community/gpt2	0.08	1.30
This is a valid json string for a detailed http request:	2	5	0.026	0.013	cpu	openai-community/gpt2	0.08	2.77
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	3	1	0.032	0.011	cpu	openai-community/gpt2	0.12	1.33
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	3	2	0.033	0.011	cpu	openai-community/gpt2	0.13	1.46
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	3	3	0.032	0.011	cpu	openai-community/gpt2	0.12	1.88
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	3	4	0.032	0.011	cpu	openai-community/gpt2	0.12	1.59
