prompt	n_tokens	run_id	total_time	time_per_token	device	model_id	constrained_time	unconstrained_time
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	1	1	0.019	0.019	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.86	1.01
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	1	2	0.019	0.019	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.92	0.95
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	1	3	0.024	0.024	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.83	0.76
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	1	4	0.020	0.020	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.89	1.00
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	1	5	0.025	0.025	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.89	0.81
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	1	1	0.023	0.023	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.93	0.83
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	1	2	0.020	0.020	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.93	1.44
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	1	3	0.019	0.019	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.94	0.95
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	1	4	0.021	0.021	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.86	0.79
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	1	5	0.019	0.019	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.03	1.19
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	1	1	0.020	0.020	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.90	0.88
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	1	2	0.020	0.020	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.99	1.13
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	1	3	0.020	0.020	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.04	1.02
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	1	4	0.023	0.023	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.05	1.29
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	1	5	0.021	0.021	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.00	1.06
This is a valid json string for a detailed http request:	1	1	0.023	0.023	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.83	0.84
This is a valid json string for a detailed http request:	1	2	0.022	0.022	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.83	0.88
This is a valid json string for a detailed http request:	1	3	0.022	0.022	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.92	0.77
This is a valid json string for a detailed http request:	1	4	0.022	0.022	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.88	0.93
This is a valid json string for a detailed http request:	1	5	0.026	0.026	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.75	0.78
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	2	1	0.079	0.040	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.55	1.48
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	2	2	0.081	0.041	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.51	1.53
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	2	3	0.080	0.040	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.65	1.42
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	2	4	0.114	0.057	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.89	1.63
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	2	5	0.078	0.039	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.61	1.51
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	2	1	0.083	0.042	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.58	1.54
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	2	2	0.062	0.031	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.82	1.68
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	2	3	0.065	0.033	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.67	1.53
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	2	4	0.078	0.039	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.52	1.65
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	2	5	0.062	0.031	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.44	2.06
