prompt	n_tokens	run_id	total_time	time_per_token	device	model_id	constrained_time	unconstrained_time
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	1	1	0.005	0.005	cpu	/dlabdata1/llm_hub/Mistral-7B-v0.1	0.78	0.74
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	1	2	0.006	0.006	cpu	/dlabdata1/llm_hub/Mistral-7B-v0.1	1.00	1.06
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	1	3	0.005	0.005	cpu	/dlabdata1/llm_hub/Mistral-7B-v0.1	0.85	0.84
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	1	4	0.008	0.008	cpu	/dlabdata1/llm_hub/Mistral-7B-v0.1	1.18	0.90
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	1	5	0.006	0.006	cpu	/dlabdata1/llm_hub/Mistral-7B-v0.1	0.77	1.08
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	1	1	0.007	0.007	cpu	/dlabdata1/llm_hub/Mistral-7B-v0.1	1.22	0.92
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	1	2	0.005	0.005	cpu	/dlabdata1/llm_hub/Mistral-7B-v0.1	1.01	0.88
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	1	3	0.006	0.006	cpu	/dlabdata1/llm_hub/Mistral-7B-v0.1	0.81	0.75
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	1	4	0.005	0.005	cpu	/dlabdata1/llm_hub/Mistral-7B-v0.1	0.79	0.76
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	1	5	0.004	0.004	cpu	/dlabdata1/llm_hub/Mistral-7B-v0.1	0.93	1.00
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	1	1	0.005	0.005	cpu	/dlabdata1/llm_hub/Mistral-7B-v0.1	1.08	1.49
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	1	2	0.005	0.005	cpu	/dlabdata1/llm_hub/Mistral-7B-v0.1	1.43	1.40
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	1	3	0.005	0.005	cpu	/dlabdata1/llm_hub/Mistral-7B-v0.1	0.98	0.91
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	1	4	0.005	0.005	cpu	/dlabdata1/llm_hub/Mistral-7B-v0.1	0.91	1.23
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	1	5	0.005	0.005	cpu	/dlabdata1/llm_hub/Mistral-7B-v0.1	1.09	1.00
This is a valid json string for a detailed http request:	1	1	0.005	0.005	cpu	/dlabdata1/llm_hub/Mistral-7B-v0.1	0.87	0.88
This is a valid json string for a detailed http request:	1	2	0.005	0.005	cpu	/dlabdata1/llm_hub/Mistral-7B-v0.1	0.71	0.70
This is a valid json string for a detailed http request:	1	3	0.004	0.004	cpu	/dlabdata1/llm_hub/Mistral-7B-v0.1	0.84	0.87
This is a valid json string for a detailed http request:	1	4	0.005	0.005	cpu	/dlabdata1/llm_hub/Mistral-7B-v0.1	0.85	1.23
This is a valid json string for a detailed http request:	1	5	0.005	0.005	cpu	/dlabdata1/llm_hub/Mistral-7B-v0.1	0.79	0.92
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	2	1	0.014	0.007	cpu	/dlabdata1/llm_hub/Mistral-7B-v0.1	1.44	1.75
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	2	2	0.015	0.007	cpu	/dlabdata1/llm_hub/Mistral-7B-v0.1	1.36	1.43
